Time,Motor 0 Position,Motor 1 Poqsition,Motor 0 Torque,Motor 1 Torque,Force
2.3089129229992977,0.28341609239578247,0.27548062801361084,-0.3750286102294922,-0.3675687909126282,compression
2.3147417820000555,0.30249837040901184,0.2947362959384918,-0.43900546431541443,-0.4750836491584778,compression
2.3212621250004304,0.32123100757598877,0.31409358978271484,-0.567557692527771,-0.5861268043518066,compression
2.3293105299999297,0.35164886713027954,0.34626272320747375,-0.4284261167049408,-0.45713236927986145,compression
2.336501858999327,0.3885430097579956,0.38306376338005066,0.13590019941329956,-0.4945499300956726,extension
2.346851233000052,0.3985808491706848,0.3920053243637085,-1.7893706560134888,-1.5281062126159668,extension
2.3535535729988624,0.38722360134124756,0.36753207445144653,-1.882154107093811,-1.669530987739563,extension
2.3601595449999877,0.36239951848983765,0.34080713987350464,-1.8693240880966187,-1.7225000858306885,extension
2.3676649419994646,0.33901190757751465,0.3197915554046631,-1.7876261472702026,-1.6318691968917847,extension
2.3752984469992953,0.31696075201034546,0.29863905906677246,-1.9341853857040405,-1.6831941604614258,extension
2.383782249999058,0.29462239146232605,0.27362561225891113,-1.8243550062179565,-1.6609094142913818,extension
2.3904770339995594,0.2701624631881714,0.25244706869125366,-1.8531261682510376,-1.6247142553329468,extension
2.397250799000176,0.2569179832935333,0.23937061429023743,-1.3661072254180908,-1.6965968608856201,extension
2.404309667999769,0.24059996008872986,0.2221355438232422,-1.8538532257080078,-1.641170859336853,extension
2.411438277000343,0.2220071256160736,0.20477509498596191,-1.8900033235549927,-1.6076123714447021,extension
2.4176989039988257,0.20884639024734497,0.1912943720817566,-1.3862864971160889,-1.5133458375930786,extension
2.4263853689990356,0.19253036379814148,0.1742965579032898,-1.8709453344345093,-1.6484464406967163,extension
2.4323243540002295,0.17763736844062805,0.15981954336166382,-1.3922958374023438,-1.3305613994598389,extension
2.4379301059998397,0.1656944751739502,0.14739584922790527,-1.0297019481658936,-1.005732536315918,extension
2.4438886659991113,0.15208035707473755,0.13405680656433105,-1.1680549383163452,-1.0305378437042236,extension
2.4497150059996784,0.13983368873596191,0.12210261821746826,-0.8589310050010681,-0.8472894430160522,extension
2.460908584000208,0.12777096033096313,0.11058807373046875,-0.7592822313308716,-0.7458211779594421,extension
2.467503425999894,0.10205763578414917,0.08344781398773193,-1.1556957960128784,-1.1824101209640503,extension
2.4750609700004134,0.08415596187114716,0.06515544652938843,0.047382574528455734,0.3380831182003021,extension
2.483777416000521,0.06477367877960205,0.04698336124420166,0.009360523894429207,0.028461605310440063,extension
2.4923740119993454,0.04360249638557434,0.026325643062591553,0.05293068289756775,0.19601024687290192,flight
2.4981768159996136,0.026025250554084778,0.009918212890625,-0.023828908801078796,-0.011179923079907894,flight
2.504752639999424,0.013371050357818604,-0.0029796957969665527,0.7673777937889099,0.9542077779769897,flight
2.5118547120000585,0.004465669393539429,-0.010589897632598877,0.7420728802680969,0.7585748434066772,flight
2.5198166360005416,0.005618929862976074,-0.001086592674255371,0.41324156522750854,0.4023314416408539,flight
2.52766502600025,0.022927388548851013,0.01808851957321167,-0.014839808456599712,-0.4023578464984894,flight
2.5349034470000333,0.03962831199169159,0.03429299592971802,-1.2276471853256226,-1.481727957725525,flight
2.5405102360000456,0.04806533455848694,0.03911149501800537,-1.2206577062606812,-1.228384256362915,flight
2.545778513998812,0.04830974340438843,0.03606748580932617,-0.7897864580154419,-0.5554474592208862,flight
2.5503822689988738,0.046491384506225586,0.028664112091064453,-0.2259615659713745,-0.00137736601755023,flight
2.5542461320001166,0.03741464018821716,0.021660268306732178,-0.026792343705892563,0.4932330846786499,flight
2.5587669989999995,0.02804522216320038,0.014418542385101318,0.3302837312221527,0.5507221221923828,flight
2.5640216289993987,0.021862313151359558,0.007147431373596191,0.9474666118621826,0.6893894672393799,flight
2.5680733579993102,0.019417807459831238,0.004643082618713379,0.39456647634506226,0.408272922039032,flight
2.5718908329999977,0.01938578486442566,0.0052918195724487305,0.09936374425888062,0.11064735800027847,flight
2.575900026000454,0.01940186321735382,0.008092403411865234,0.007622185628861189,-0.012910764664411545,flight
2.5815646659993945,0.019430354237556458,0.011355042457580566,-0.05737713351845741,-0.4375828802585602,flight
2.5859351479994075,0.019442439079284668,0.011769473552703857,-0.07815812528133392,-0.37180399894714355,flight
2.590286684999228,0.019453376531600952,0.011114180088043213,-0.0780966654419899,-0.14649330079555511,flight
2.5943810989992926,0.01945972442626953,0.010088443756103516,-0.08601581305265427,-0.060495711863040924,flight
2.601022273000126,0.019452258944511414,0.008500754833221436,-0.1112193763256073,-0.018050415441393852,flight
2.6055214749994775,0.01943393051624298,0.006259799003601074,-0.12577983736991882,-0.01659398525953293,flight
2.6107485499996983,0.01858501136302948,0.004160404205322266,-0.09169081598520279,0.051195256412029266,flight
2.616166787000111,0.016711294651031494,0.002316772937774658,-0.05726423114538193,0.05867784097790718,flight
2.6221369199993205,0.015084713697433472,0.0010742545127868652,-0.007778754457831383,0.05569199472665787,flight
2.627069909000056,0.014722168445587158,0.0006864666938781738,0.010925526730716228,0.03633037209510803,flight
2.6316661259988905,0.014703929424285889,0.0006948113441467285,-0.0030317269265651703,0.006372051313519478,flight
2.636724296999091,0.014704301953315735,0.0010451674461364746,-0.03835000842809677,-0.03239860385656357,flight
2.6420414999993227,0.01470540463924408,0.0012959837913513184,-0.0585397370159626,-0.06627454608678818,flight
